"questions","type"
"андрей викторович мой сын сейчас месяц когда он быть неделя у он быть приступ чсс быть удамина он в тяжелый состояние увезти в перенатцентр там такой приступ в течение месяц быть еще раз поставлять деагноз кардиопатия с нарушение ритм и проводимость wpw синдром тип а с приступ пароксизмальный тахикардия перенатальный энцефаломиелопатиясиндром вчерепной гипертензия в операция мы отказывать рекомендовать понаблюдаться у кардиолага приступ большой не повторятьсякардиолог говорить что возможно этот пройти когда мы вылечивать невролог сейчас мы находиться дом принемаемый лекарство кардорон финлепсин но в постаянный страх что этот опять случаться сейчас переодический бывать тахикардия последний раз быть чсс удамина вопрос дествительный этот мочь пройти и вообще ваш мнение по наш заболевание за рание большой спасибо","C"
"мой диагнозартериальный гипертензия ст iii риск ivибсстенокардия напряжение iii фкю атеросклкрз аорта осл н iii фксуправентрикулярный и желудочковый экстрасистолия год пить конкор кора с декабрь года начинаться кашель в апрель кашель усиливаться в грудь слышный хрип сделать рентген грудной клетка в легкий весь нормальный врач  наверное у вы бронхит и приписывать антибиотик колоть раз в  но в этот день я не пить конкор ткнужно быть сдавать анализ и кашель у я ослабнуть сегодня второй день без прием конкор кашель маленький но пульс какой лекарство можно пить вместо конкор","C"
"уважать доктор у я диабет тип год на инсулин год в последний месяц появляться сильный ломить боль в сердце и учащенный сердцебиение при медленный глубокий дыхание проходить возникать при сахар высокий ммоль рано такой не наблюдатькуда бежать спасибо","Other"
"помогать  расшифровывать экг я год жалоба практически нет редко экстрасистола","C"
"я звать дмитрий я быть пилот самолет гражданский авиация каждый год проходить медкомиссия в цкб га и у я никогда не быть проблема с сердце но в август г перенести инфаркт миокард передний стенка  что я быть в шок ничто не сказать как так ведь ни малый подозрение август около утро появляться боль в грудь жена врач педиатр вызывать скорый и бригада диагностировать инфаркт весь необходимый действие бригада скорый помощь быть сделать и я быть доставлять в нпцик на сверчковый переулок с момент начало боль и до доставка я в центр пройти около час я быть сделать коронарография и быть устанавливать стент но в момент установка стент я потерять сознание и у я случаться фибриляция желудочек как я потом сказать врач этот быть большой залп кровь в восстанавливать коронарный сосуд заводить мой сердце дефибрилятор аж с го раз даже оставаться ожог в рн солнечный сплетение и слева на ребро по истечение  я быть выписывать из давать центр с благоприятный прогноз сразу посол выписка со я начинать происходить очень неприятный вещь у я появляться постоянный звон в ухо мурашик на голова онемение кожа рука между локоть и кисть онемение грудь общий слабость головокружение и тд этот приступ происходить сначала раз в месяц но потом весь часто и часто а месяц назад к это весь добавляться и экстрасистола я пройти весь возможный обследование сердце экг эхо стрессэхо холтер кт сердце с контрастный вещество и др в поликлиника на ул академик анохин от нпцик и продублировать этот исследование в свой ведомственный поликлиника но и там и там врачкардиолог ссылаться во мнение что проблема не в сердце тогда я обследовать жкт почка печень щитовидка и позвоночник находить остеофит но спина не болеть профильный врач тоже говорить что я не они клиент но проблема только усугубляться рано я многий курить и выпивать но посол инфаркт весь бросать и начало заниматься в фитнесцентр физкультура плавание у я ни когда не быть и нет отдышка хотеть вес кг при рост но я сейчас пытаться худеть и потихоньку сбрасывать вес при этот приступ ни какой лекарство нитроглицерин изокет ношпа валимидин и др не помогать но близкий к момент отход ко сон весь проходить и спать я нормальный те во время сон приступ нет но как только просыпаться весь начинаться с начало я понимать что возможно этот панический атака но почему у я болеть в право рн печень и в левый рн поджелудочный железа подреберье и в рн почка очень не приятный ощущение в рн между солнечный сплетение и пупок жжение под оба подмышка и тд еще у я брадикардия в покой пульс удар в минута и в течение день а особенно вечер я наблюдать толчок с сердце по показание холтер желудочковый экстрасистола шт за сутки но при изменение поза они проходить но потом опять возникать я уже не знать что я делать какой исследование еще пройти чтобы выяснять причина мой недуг я конечно понимать что весь проблема в сердце но кардиолог убеждать я в обратныйподсказывать как я быть спасибо","C"
"с год пароксизмальный форма мерцательный аритмия с март определять кардиолог поликлиника как постоянный форма без лекарство ритм быть в мина ад х иногда х с март назначать дигоксин таб мг в сутки и бетолок зка мг таб ритм снижаться до уда в мина средний значение бывать и причем в год пульс всегда быть не низкий уда в мина консультироваться лето у городской аритмолог москва гкб мтульский он предлагать кардиостимулятор по мой самочувствие этот для я помоему слишком до декабрь год принимать дигоксин беталка зка самочувствие быть средний часто присутствовать общий слабость одышка при ходьба не быть в конец декабрь должный быть показываться кардиолог сделать кардиограмма результат при сравнение с экг оет г ухудшение состояние миокард гипертрофия левый желудок ухудшение коронарный кровообращение по заднебоковой стенка верхушка увеличиваться депрессия глубокий tv и ii iii а vf через  повторный экг предложение госпитализация в больница день с интенсивный терапия в первый час диагноз при поступление нестабильный стенокардия впервые ад изокет капельница который продолжать ставить и в терапевтический отделение в реанимация врач определять причина ухудшение состояние передигоксинизация организм от изокет и кардикет в таблетка осильно болеть голова через неделя они убирать оставлять эгилка и половинка таблетка дигоксин проводить терапия эгилка аспирин дигоксин мидронат вв изокет вв гепарин пк кардикет лазикс вв рибоксин ввэкг в больница мерцание предсердие нормосистолический вариант нагрузка на левый желудочек диффузный изменение миокард делать эхокг аорта мм оака мм лп мм мк движение мобразный разнонаправленный митральносептальный сепарация мало мм тмпж мм амплитуда движение мжп норма тзслж мм амплитуда движение с норма кдрлж мм ксрлж мм локальный нарушение сократимость левый желудочек не выявлять фв пж мм пп мм тк без особенность ла мм мр ст заключение по эхокг аорта уплотнять камера сердце они соотношение толщина миокард в предел норма зона гипокинез не выявлять фв признак незначительный легочный гипертензия мр степень перед выписка снимать дигоксин по причина зубец на экг и через день повторный экг без динамика я готовить к выписка напрашиваться на узи щитовидный железа год назад быть узел результат выражать узловой изменение щитовидный железа многоузловой зоб быть крупный узел см в оба доля кистозныйузловой зоб выписывать из бцы под наблюдение терапевт кардилог эндокринолог гормон пункция узловой ткань с терапия эгилка мг утро тромбо асс мг вечер кардиопротектор предуктал мв т х рд курс раз в год дополнително варикозный расширение вена нижний конечность проводить курс веселдуо вв пульс теперь в средний и высокий средний ад х тот быть пульс увеличиваться с на без дигоксин быть ли чтото вместо он для пара с беталок зка или какой другой терапия в мой случай возможный с цель снижение пульс и стабилизация состояние на какой отклонение выявлять проводить исследование я следовать обращать внимание с тот же цель контроль стабильность а мочь и положительный динамика состояние миокард на фон иметься заболевание","C"
"мать год месяц назад она лечить остеохандроз поясничный отдел позвоночник грыжа межпозвонковый диск поясничный отдел до см принимать лечение ельлизин плюс физраствор плюс фурасимид внутривенный капельный раз в   солмедрол плюс фурасемид внутривенный капельный день день по день по династан флакон раз в день толперять г раз в день день псле первый солмедрол давление повышаться до посол второй доза уменьшать до давление не измерять посол давление повышаться до посол это солмедрол отменять сделать внутримышечный магнезий сульфат назначать эналаприл давление нормализовваться посол выписка давление подниматься до потом назначать эналаприл на ночь и бипролол утро но ничто не помогать принимать таблетка эналаприл на ночь и утро три раз принимать фурасемид по табла утро день давление доходить до норма наночь с до давление подыматься а на утро в подыматься до анализ в норма диагноз ивс тахикардия удар гипертония что мочь помогать при высокий давление","C"
"у отец год сердечный недостаточность перенести инфаркт назначать валсартан и петлевой диуретик посол отмена ингибитор атфэнам и трентал он поставлять кардиостимулятор который экстренный стработать ввиду высокий пульсболее удор назначать в дополнение бетаблокатор emkoncor переносить плохой давление резко падать слабость головокружение теперь посол реанимационный мера назначать новый бетаблокатор seloken zocметопролол а пульс стабильный держаться между и удар редко выходить на вопрос принимать по мера необходимость или не принимать совсем","C"
"я год с год до год страдать бронхиальный астма посол год переходный возраст приступ астма не быть всегда на кардиограмма писать в расшифровка синусовый тахикардия чсс давление до год пульс в год родить дочь давление на пульс полтора год назад начинаться предклиматерический этап становиться скакать давление на пульс мочь доходить до особенно в период волнение успокаиваться пропадать страх посол капля валокордин и давление нормализоватьсяиногда давление подниматься совершенно неожиданно начинать мерить еще плохой становиться на кардиограмма синусовый тахикардия и гипертрофический изменение миокард весь врач однозначно выписывать конкор пить сначала пульс быть давление иногда подниматься до на в период волнениесейчас уже пол год пить конкоркора иногда бывать кашель но очень редко астма себя не проявлять но иногда бывать слабый головокружение небольшой шаткость неуверенность в походка не большой давление на фон прием конкор на утро чсс вечер мочь быть на чсс иногда давление мочь повышаться до на но очень очень редко вопрос теперь надо пить конкоркора постоянно или посол наступление климакс он можно быть отменять гормон щитовидный железа в норма только повышать очень антителона узи признак аутоиммунный тиреоидит гинекология весь в норма интернет пестреть страшилка о привыкание к конкор","C"
"помогать принимать правильный решение мама год два год назад перенести акша в февраль это год сделать коронарография результат на фото подсказывать что следовать предпринимать для она дальнейший лечение и какой прогноз для она жизнь что можно сделать для она продление спасибо огромный","Other"
"доктор мой бабушка год перенести инфаркт в сентябрь г затем через месяц стентирование давление посол инфаркт очень часто почти около год быть низкий гипотензивный препарат не принимать через год начинаться подъем давление ночь до сделать повторный коронарография рестеноз нет весь в порядок назначать конкор утро мг престариум вечер мг но она уменьшать доза престариум до мг потому что перед сон давление очень часто пониженый а ночь последний два  подниматься до и до плюс кровь из нос что мы делать принимать на ночь престариум или нет если низкий давление мочь ли этот препарать уменьшать такой скачок в кардиоцентр мы сказал что посол стентирование подъем не должно быть","C"
"я год перенести острый без зубец распространять передний инфаркт миокард посол выписка из стационар продолжать принимать крестор но для наш семейный бюджет этот очень дорогой приемлим ли замена это лекарство на аторвакор отечественный препарат в раз дешевый ведь принимать лекарство приходиться еще очень долго","C"
"я год раниий климакс пока кардиограмма в норма но становиться повышаться давление до пульс иногда таблетка не пить хотеть пока попробывать трава лечиться или уже нужно начинать пить конкор терапевт порекомендовать вчера целый день давление низкий а пульс что делать","C"
"в течение месяц появляться резкий скачок давление до назначать капотный и нифидепин моксонидин помогать до час а далее опять подъемлечениеиндопамид энап мг раз кон кора мг разамлодипин вечерпить со состояние ухудшатьсяобращаться к кардиолог в гореховозуевосвой местный медицина практически отсутствовать врач сделать назначение амплодипин мгутронолипрелый би форт табла вечер а при криз физиотенз мгкак быть с кон кор бояться резко отменять изза пульс принимать год ранее назначать амплодипин вечер а сейчас назначать утро как повашему мнение что верно как я быть я очень просить вы если у вы быть этот возможность подкорректировать  давать назначениеи что делать при криз если ни физиотенз ни капотный не помогатьтолько на очень короткий время часдо год давление быть на мм рт ст пульс всегда повышенный но с применение кон кора стабилизироваться до а с вновь назначать средство становиться подскакивать до удар в минута","C"
"пол м я год рост см вес кг недавно внезапно почувствовать сильный сердцебиение дрож по телочувство страх смертьэтот непонятный приступ продолжаться минута скорый не вызыватьсам пройти толчок в сердце иногда ощющаю каждый  по раз иногда неделя они нету я обращаться к врач сначала этот быть терапевт отправлять я на экгкоторый показывать синусовый аритмия врач прописывать я пить кардионат и какой тот укольчик внутримышечныйк сожаление не помнить название  этот витаминсердце кислород обогощять еще выписывать колоть никотиновый кислота буфус и прописывать успокоительный в вид таблетка экстракт пустырник и комбилипный табс сказать что я молодойперенервничать я решать сходить к кардиолог кардиолог назначать я холтерсдавать анализ кровьмочь сказать что этот мочь у я быть изза мой гастрит гастроинтеролог на основание результат фгдс поставлять предворительный диагноз гэрб недостаточность кардий атрофический гастритассоциировать с нр хрондуоденит ст с убремисси лечение ганатон мгр в день неделя нольпаз раз в день месяц заключение холтер за время иследование зарегестрировать синусовый ритм со средний чсс в минаот дов мина синусовый аритмия в течение сутки в ночной время не длительный эпизод синусовый брадикардия единичный желудочковый экстрасистола одиночный предсердный экстрасистола транзитный ишемический изменение сегмент st не зарегестрировать за время иследование особенность внутрижелудочковый проведение назначать пить магнерот и продуктал хотеться бы узнавать уважать доктор насколько этот не хороший кардиолог ничто на мой вопрос на счет здоровый ли я так и не отвечать результат обследование и анализ низкий заранее огромный спасибо","Other"
"здравсвуйт подсказывать  муж поставлять диагноз гипертензивный болезнь с преимущественный поражение сердце с застойный сердечный недостаточность подсказывать что мы необходимый пройти какой мера прдпринять чтобы состояние здоровье не ухудшаться давление на выписывать диратон прием таб в  муж заниматься спорт любить баня я полагать весь он увлечение надо уменьшать он сердиться","C"
"я поставлять диагноз артериальный гипертония ii ст риск iii пароксизмальный форма фибрилляция предсердие xchфкiтна что этот такой да появляться быстрый усталость небольшой боль в область сердце по левый часть тело в рука в бедро в голень не приятный покалывание и за левый глаз время сильный боль казаться сосуд прописывать таблетка кардорон раз в сутки и кардимагний т перед сон через месяц говорить нужно проводить операция на сердце возможно излечение без хирургический вмешательство а если нет какой шанс посол операция с уважение жанибек","C"
"в год мой отец перенести инфаркт большой сутки находиться в ком потом первый время регулярно повторять курс лечение а последний время не регулярно предыдущий неделя он серьезный переболеть грипп мы жить ни вместе вчера мы увидеться и быть явно видно что он очень бледный я думать что этот причина неправильный работа сердце какой обследование мы нужно пройти и какой анализ познавать что бы исключать вероятность сердечный приступ спасибо","Other"
"муж год у он находить аритмия хотеть он она никак не ощущать делать суточный мониторинг результат я не знать тот ли врач не  какой аритмия тот ли муж не понимать выписывать сотагексал по мг раз в  пить пока только день по утро и вечер мерять давление вечер на аппарат я не замечать аритмия а по утро быть я хотеть чтобы он еще добавлять афобазол он очень нервный а врач об это он не говорить т к наблюдаться по место работа подсказывать совместимый ли этот лекарство с уважение наталия заранее благодарный за ответ","Other"
"вот уже большой десять  у мама а она год при пониженный давление на и частота удар и головной больона принимать укол рибоксин и пить предуктал и кардиомагнил на ночь появляться головной больподсказывать что надо сделать чтобы сокращать ударв больница и скорый помощь не мочь вызывать так как она приезжать","C"
"я звать анна я год у я по диагноз синусовый тахикардия чсс до удар пмк степени частый предсердный экстрасистолия суточный монитор показывать за сутки ишемический смещение сегмент st не выявлять циркадный индекс процент врач выписывать омакор магний милдронат соталекс и валериан я этот весь принимать но у я постоянно уже в течение неделя болеть в область сердце тот жечь тот покалывет мочь колоть чуть низкий грудь мочь в область сам левый грудь врач  что этот не сердце а я беспокоить всеж этот вопрос так как этот ощущение практически не прекращаться я очень волноваться сказать на скольким серьезный мой заболевание и сердце ли этот болеть спасибо","C"
